Positive,RT @cmaek09: They have @NFL clothing for @Bitmoji now!!! @Vikings all day everyday! #VikingsNation https://t.co/dnjagvdnwo
Positive,RT @charlotteraye94: Yasss @Bitmoji with the NFL outfits! https://t.co/hOJpzYdaRa
Positive,RT @Kehhm13: FINALLY!!!!! NFL BITMOJI OUTFITS https://t.co/7SX4dTraI2
Positive,RT @_jack_mills: Snap map knows the score 😂 https://t.co/3ptaiWjCi8
Positive,RT @cascheep: I downloaded Bitmoji the other day and I was looking through the stickers this morning and damn if this ain’t me https://t.co…
Positive,RT @jess_hollyman: Changed my Bitmoji's clothes to jacket and jeans seeing as it's autumn and that. Don't want her getting cold..
Positive,"RT @maryjanelys: My mom about her bitmoji: ""I have a cute outfit on today too"""
Positive,RT @madewithcode: So excited to announce the #MyFutureMe Challenge! Enter for a chance to build a live @Snapchat lens. 🙌 😍  https://t.co/qd…
Positive,RT @rheannabellomo: just discovered that @snapchat has FRENCH geotags what a f*cking game changer https://t.co/aLOszJs4SX
Positive,RT @missdaniellelyn: I got a haircut so it would match my bitmoji better. https://t.co/CzrU1gzaQI
Positive,RT @Vepperoni: The new snapchat filter when you take pics of the sky is so beautiful https://t.co/sVhCtr5OJI
Positive,RT @izmailat: I love that Snapchat added animated Bitmoji. https://t.co/EuCjpCxx0N
Positive,RT @sarcxlle: these bitmoji filters are honestly my fave @snapchat https://t.co/tvEUqTlFC2
negative,"RT @EmiIyLandino: its SO awkward when ur replyin on snapchat and ur halfway through &amp; and there bitmoji pops up at u, like where are ur man…"
neutral,RT @sarafischer: .@Snapchat's @PeterHamby is back for Season 3 of GLA in his hometown of Richmond. Check it out!  https://t.co/3El5yA0IOv #…
Positive,RT @Disneylovingdee: The new sky filters on Snapchat are pretty bomb https://t.co/QkBhbltY2y
Positive,RT @TimmyDavidNYC: #HumpDay Snapchat &amp; Bitmoji Fun https://t.co/c5e9uPjK5t
Positive,RT @TimmyDavidNYC: #HumpDay Snapchat &amp; Bitmoji Fun https://t.co/c5e9uPjK5t
Positive,RT @whitdiane88: my #bitmoji knows what’s up 💜 #AGTfinale @AGT @ShaniaTwain #snapchat https://t.co/kwdQOOBWb6
neutral,"RT @TimmyDavidNYC: @Bitmoji
Positive,RT @rebekahclyborne: This Snapchat filter on me is absolutely the first page on my flip chart for the plants unit. https://t.co/BFX9TIf7Uh
Positive,RT @niki_panda: I haven't heard from my mom but thanks to the snapmap I know her area is okay! I managed to contact my sister and my dad an…
Positive,RT @eldepressedmerm: I need a personal cheerleader to get through this week. This Snapchat filter will have to do https://t.co/8XTf8z4PYf
Positive,RT @MariAtBlueSnap: Such a fun update! -- 'Snapchat brings Bitmoji to the real world with World Lenses' https://t.co/6iWGVbpXXB by @techcru…
Positive,RT @glitterbelle_: If you flip your camera to the rear facing camera on snap there's a filter with a 3D version of your bitmoji RT to save…
Positive,RT @jazminejanay: I love snap for making bitmoji animated 😭 https://t.co/9Iy93QyE2N
Positive,RT @TylerScruggs: I am best friends with my Bitmoji. Thank you @Snap https://t.co/yYMOEEuTBa
Positive,RT @Samarzipan: omg this new snap update with the 3D Bitmoji... it me https://t.co/95JIT6KP5P
Positive,RT @Kevo_V2: The 3D Bitmoji thing you can do on snap now is lit lol
Positive,RT @alyonakotlyar: 3D Bitmojis are out! #bitmoji #snap https://t.co/yxzy7vS5Uu
Positive,RT @tiffthetechie: FYI: I still make custom #Snapchat filters! Here's a simple one I made for @Inner_Phoenix birthday party! 🌟💥✨ https://t.…
Positive,RT @luzestelaa: I love going through my snapchat memories :')
Positive,RT @LSiupinys: So cool to have 4 filters that I created accepted by snapchat!! 4 cities now represented by my filters on the snapmap for an…
Positive,RT @MacarthurAnna: I'm on a train #SnapMap https://t.co/gpNzDPFYjj
neutral,RT @doreenmh_: Snap map is so lit https://t.co/MEbdgTzZBX
neutral,RT @doreenmh_: Snap map is so lit https://t.co/MEbdgTzZBX
Positive,RT @chilreku: Snapchat Releases Campus Publisher Stories for College Newspapers https://t.co/3vngSJhtu3
Positive,"RT @wagdyAYs: Snapchat is tapping college newspapers to make campus stories and letting them sell ads https://t.co/P1DrmV7M0V https://t.co/…"
Positive,RT @JoeCulotta: Great way to see what others see during #HurricaneIrma is to use the @Snapchat map feature. The images and video are surrea…
Positive,RT @mediaprofirdosh: People are using Snapchat to track damage from Harvey https://t.co/a7joIwVmW7 via @karissabe@mashable https://t.co/noh…
neutral,RT @jennaxoxo2000: I'm just waiting to see the snap map today when everyone is at school
Positive,"RT @jackbremer: Loved my @Snap @snapchat #Spectacles on holiday - in the pool, in the sea (splashed but not under!) not a scratch on them!…"
Positive,RT @SillyGirlA: I love the @GameOfThrones  @Snapchat filter https://t.co/8nq0JEDUYc
Positive,RT @LLAPawsper: Best @Snapchat filter ever!! 😍😍 https://t.co/haFcmHTXnw
Positive,"RT @melrose24: CNN launches daily Snapchat show called ""The Update"" https://t.co/VzmXEkRKMT @Snapchat @CNN @cnnbrk #Theupdate"
Positive,RT @hailey_lauryn: ok why did nobody tell me that there's an entire snapchat story just of random people's DOGS #blessed @Snapchat thank u…
Positive,RT @A_Wade9: You know when people leaving for college when the bitmojis on the snap map start to spread out
positive,RT @GillhamSavannah: or SnapMap https://t.co/Xguso4H4my
Positive,RT @EQLife11: @kels_witt16 @etten815 When you check the map on snap for your friends and see how far away you are https://t.co/YoYyc05aUM
Positive,RT @_syydneey_: Update I was really stressed abt moving in but I just watched campus vids on the snapmap of a bunch of colleges and now I'm…
Positive,RT @kamuhreeeen: Shoutout to @Snapchat for creating an app that makes you feel like you went to a function you had to miss ✊🏽
Positive,RT @Nathan_Paulson_: How come NO ONE ever told me Snapchat doubles as Shazam!? This would have saved me so many times @Snapchat https://t.c…
Positive,RT @selenagomez: Press and hold on the @Snapchat camera when listening to “Fetish” to @Shazam and unlock my exclusive filter! 🍑 https://t.c…
Positive,RT @zagawd: But Snapchat has a bee that milly rocks. I am ecstatic https://t.co/Y0Cgsh6XDW
Positive,RT @TonyclementCPC: Happy National Hot Dog Day! With the Snapchat filter too! 🌭 https://t.co/LYl8goVti7
Positive,RT @PigsAndPlans: famous album covers but with the snapchat hot dog https://t.co/puHrKiXJfi
Positive,RT @kayla_nieves13: so glad snapchat came out with the update to be able to add up to 6 snaps on one snap so it will video longer then 10 s…
Positive,RT @awgchemistry: YALL THE NEW SNAPCHAT UPDATE ALLOWS U TO RECORD UP TO 6 SNAPS TOGETHER IF U HOLD THE CAPTURE BUTTON
neutral,RT @sydney__isabel: Winter is here. @GameOfThrones @Snapchat  #PrepareForWinter #GameofThrones #GoTS7 #Winterishere https://t.co/rF60CQj0D6
neutral,"RT @GameOfThrones: Rally the realm.#PrepareForWinter with the official #GameofThrones lens on @Snapchat. #GoTS7 #WinterIsHere https://t.co…"
neutral,RT @MAJORLAZER: BET YOU DIDNT CATCH THAT CAMEO https://t.co/rqmisU3GrO
Positive,RT @losersara: the hot dog from Snapchat is invited to my wedding
Positive,RT @melissamonten: Only using the alien voice filter on Snapchat for the rest of my existence
Positive,RT @T_SWIZZLESWAG: I like the hotdog lens on Snapchat not gonna lie. https://t.co/2wXsXZ3RKM
negative,RT @ChaseMoyer58: Gonna be weird looking on the snap map at the end of August and seeing everybody at their college
Positive,Can Snapchat's New 'Snap Map' Bring The World Closer Together? https://t.co/ZFZkc2pbkT
Positive,"RT @SeiFurutani: New #Snapchat update is 🔥!https://t.co/58jN6Hd1…"
Positive,RT @M_Sankss: New snap update got me playinnnn https://t.co/U85rQgOwgN
Positive,RT @danielcohen82: Nice update @Snap! 👻👻 https://t.co/rPVcrQW2kH
Positive,RT @danielcohen82: Nice update @Snap! 👻👻 https://t.co/rPVcrQW2kH
Positive,RT @thatgirlcelinaa: I can go sightseeing in Paris or anywhere around the world without actually having to go there with the new Snapchat m…
Positive,RT @Naveetavegeta: The Snapchat map really helped me with my geography skills
Positive,RT @JohnnyNovak: Shoutout to @Snapchat for featuring #Ottawa this morning! #Canada150ِ https://t.co/46lY0Oo7XX
