positive,"TOP SECRET DO NOT TWEET: At this year's MINECON, we're letting fans decide something that goes in the game! WAIT, D… https://t.co/DvZTg04jO5"
positive,We've updated the list of official MINECON Earth party locations. Check if there's one near you!… https://t.co/236JbH2qXN
positive,Plan your own MINECON Earth party and be in with a chance of winning an official party kit! https://t.co/j0V1l27QgA https://t.co/ZkTCH1fCxN
positive,Join your favourite streamer on their personal world during the Realms Day of Play - this Wednesday 11th October!… https://t.co/ziZ7mATQ75
positive,"Today on https://t.co/BJdLbjKvDw, Blade Stunner! A new cyberpunk build from @Udvio_ https://t.co/ONtd5t5Cou https://t.co/mus0Vt6dxb"
positive,"What's our Block of the Week? It's...GRASS! Never seen it before? Then you're DEFINITELY playing the game wrong.… https://t.co/GbndJrIIt8"
positive,"New on Java Edition Realms: Wizard Wars and Super High Scores!https://t.co/c6WKWysLbu https://t.co/TQHXtqsp1L"
positive,"Many creepers, and the author, were harmed writing our new book: MOBESTIARY. But the images are cool, so it’s fine.… https://t.co/U1LGRii6LY"
positive,"Wizards! Wonders! Wildlife! Wow! We've added a ton of content to Warketplace! Er, we mean, Marketplace!… https://t.co/gzV4mSdMqg"
positive,"Exclusive MINECON Earth merch available now, including the (blue?turquoise?) sheep! Click the link to find out more… https://t.co/HnHCwptKgS"
neutral,Gasp! ISSUE TWO of our Official Minecraft Magazine is here! What papery treats could it have in store?… https://t.co/cD5C59SbYZ
positive,Feel the power of DIRT! And components and stuff! Get your hands on the Xbox One S Minecraft Limited Edition TODAY!… https://t.co/S8JuPStZmR
neutral,"Today on https://t.co/BJdLbjKvDw, Teplight's Delights! We take a tour of @TepLight's ace builds.… https://t.co/6Bn3Jiukck"
neutral,"Today on https://t.co/BJdLbjKvDw, meet the Horse! Why the long face? YOU HAVEN'T EVEN READ IT YET.… https://t.co/OMKXs2nhg7"
positive,"More MINECON Earth news soon! Meanwhile, why not enter our costume competition to win a trip to the stage show?… https://t.co/2kuaNwR3DK"
positive,Why? How? Capes? All such questions &amp; more answered in our MINECON Earth Q&amp;A livestream. Watch here if ya missed it… https://t.co/Hxr5zeACOL
neutral,"Today on https://t.co/BJdLbjKvDw, @renderXR talks to us about his Complete the Monument maps!… https://t.co/UiRDqrKXzJ"
neutral,"What's our Block of the Week? It's...LAVA! Oh how it burns!https://t.co/snDvCobxik https://t.co/v2j9F179Y2"
neutral,"Today on https://t.co/BJdLbjKvDw, Cave Story! We explore the underground mysteries of @MrBatou_Builder's build!… https://t.co/SIR2YGUIbJ"
neutral,"Today on https://t.co/BJdLbjKvDw, The Divine Showcase! A fantasy server seeking talented builders!… https://t.co/fBE6ajmEAk"
neutral,"Today on https://t.co/BJdLbjKvDw, Minimalist Master! TheDenux takes us through his modern design methods.… https://t.co/hlUqDHoTi8"
neutral,"Today on https://t.co/BJdLbjKvDw, meet the Guardian! Water sight to behold!https://t.co/eeK3bgldlT https://t.co/SC07PqoPhn"
neutral,"Today on https://t.co/BJdLbjKvDw, we talk to @_Killerack_ about his terrific terraforming!https://t.co/2qJnMahRyv https://t.co/ukmoKQ1MM5"
neutral,"What's our Block of the Week? It's...SEA LANTERN! Helps you see the sea monsters attacking you! Er, great!… https://t.co/LxlHOOWyL4"
positive,"New stuff on Marketplace! Space, sports, dinosaurs and more!https://t.co/v0UA7T9En5 https://t.co/rnnYtqX022"
positive,"If you already own Xbox One Edition you can get the new Minecraft for free. If you're asked to pay, don't panic: ou… https://t.co/LG3IdxdEs3"
positive,QUESTIONS! ANSWERS! Our updated Better Together FAQ has got plenty of both! https://t.co/fBQo0joIgo https://t.co/vsQtd97XKo
positive,Did you know you can invite folks to your Realm by sending them a link? You can! Just another Better Together perk!… https://t.co/thB3ROWGWi
positive,"BTW, we’re working hard to award the new Minecraft to the millions of existing Xbox One Edition players, but full roll-out may take a while!"
positive,TOGETHERNESS ACTIVATED! We’ve fused many Minecrafts into one so you can play with more friends in more places.… https://t.co/dVBbc6CKgA
negative,"Jesse does hard time in the latest Story Mode episode - ""Jailhouse Block"" - out now!https://t.co/WTnJwmAjnT https://t.co/K7TIcFdGlG"
neutral,"Today on https://t.co/BJdLbjKvDw, Luscious Lands! We take a trip to this Elven City build.https://t.co/Ll2zqlTCR0 https://t.co/U9uteU11Gt"
neutral,"Today on https://t.co/BJdLbjKvDw, we speak to the designer behind the new Minecraft Hot Wheels range!… https://t.co/9c4LH5f5Oj"
neutral,"Those clever-clogs at @PlayCraftLearn have cooked up some smart collabs: @oregontrail, @smithsonian &amp; @roald_dahl!… https://t.co/ar4fIu83is"
neutral,"Today on https://t.co/BJdLbjKvDw, Interior Motives! Community builders share their interior design secrets!… https://t.co/6kxhjhZqSo"
positive,"Wanna know how YOUR beta feedback made the upcoming Better Together Update better than ever? Well, let us tell you!… https://t.co/yArt9z1xIt"
positive,"New on Java Edition Realms: Sky Walker, Cave Game, Reflections and Crafty Monkeys! https://t.co/H5rWZeEzSo https://t.co/wcmcy2Hp00"
positive,"Excellent news for our Chinese 'crafters - we released on iOS today! Android's on its way soon, too! 希望所有中国玩家都享受你们的冒险！"
positive,"Yay! It's a new Story Mode trailer! For an episode our lawyers would like to make clear is 100% NOT called ""Orange… https://t.co/4NmLhKIAxT"
neutral,"What's our Block of the Week? It's...FURNACE! Now we're cooking!https://t.co/o1bvU7JQvm https://t.co/6gsxKYw2Wj"
positive,Get your glue guns and sewing machines at the ready! Or grab a responsible adult! THE COSTUME COMPETITION IS BACK!… https://t.co/cS4nlmNn5e
positive,MYSTERIOUS MINECON PROMISE ALERT: This year YOU will decide something that goes in the game. Hm? Hm!… https://t.co/yX5tjuFp2L
positive,Exclusive MINECON swag is now available to pre-order! Get it delivered right to your door! https://t.co/mMJ0VDZJgb https://t.co/8kGr0OHxMn
positive,Find the MINECON Earth fun near you! There are viewing parties all over the world. https://t.co/mMJ0VDI8oD https://t.co/PF6DkuTljU
positive,"Prepare for a slew of smouldering hot MINECON Earth news! Ow, that really IS hot. My hands! My beautiful hands!… https://t.co/8z4BK3vcBD"
positive,"Minecraft is now on New Nintendo 3DS! Double the screens of crafting goodness, available on eShop now!… https://t.co/JW8YfIAT66"
neutral,"Today on https://t.co/BJdLbk26v4, Doom and Gloom! We take a trip to @_Pang and @vubervos_mc's Calacatta Outpost… https://t.co/t6dLzNVPSJ"
positive,It’s mean! It’s green! It’s Bluetooth-enabled. It’s our Creeper controller! Textured grips just like the real thing… https://t.co/XHGh5x5GqG
positive,"Get your trotters on this adorable control pad today, sporting a porky pink paint-job &amp; a curly tail on its behind!… https://t.co/a1il0pHIT1"
neutral,"Today on https://t.co/BJdLbjKvDw, Crafting the Citadel! We speak to @SpringstofMC about his Citadel build.… https://t.co/U5ZRNWHnuy"
neutral,"What's our Block of the Week? It's...BRICKS! WHO COULD'VE GUESSED??!https://t.co/988CEXQV2N https://t.co/dUIxxsS1YG"
neutral,"What's that sound, so long and low, echoing over the hills? Could it be THE NEW BOOK HORN?! It is! TOOT TOOT!… https://t.co/yL1MLIqCnB"
neutral,Today on https://t.co/BJdLbjKvDw: Living the slug life with @elisthetic's gastropod build. https://t.co/9jOmMSEUaI https://t.co/9iQOKHh0TB
positive,Prepare your best WHOOP! Prepared? Good! Coz we’re happy to say Minecraft Marketplace creators have now earned over… https://t.co/2whOx6K1sq
neutral,"Today on https://t.co/BJdLbjKvDw, meet the Cave Spider! Surprisingly, not a great kisser.https://t.co/wj8KJKTk9P https://t.co/dAhUf02NoK"
neutral,"Today on https://t.co/BJdLbjKvDw, Monochromatic Marvel! We explore this incredible spaceship build from @FoxyPMC… https://t.co/gxqhrmiqYe"
neutral,"Today on https://t.co/BJdLbjKvDw, we set sail for the enchanting lands of @vubervos_mc and @erikjoel99's build!… https://t.co/JrkAio72NQ"
positive,"What's our Block of the Week? It be...It's fun to say too!PODZOL PODZOL PODZOL PODZOL PODZOL PODZOL… https://t.co/tBi5OHgRdF"
positive,"SMOKIN' HOT CONTENT FRESH FROM THE CONTENT OVEN!DELICIOUS!So, yeah. We put new stuff on Marketplace! Enjoy… https://t.co/B0wj1e1IUC"
neutral,Today on https://t.co/BJdLbjKvDw: Azacore's tips on getting into the building biz! https://t.co/Is08ACLtFQ https://t.co/JzjRELaA42
positive,Do YOU just LOVE transferring stuff? Good news! You can now transfer worlds between Wii U &amp; Switch! Here's how:… https://t.co/8iw6xFhAaN
neutral,Today on https://t.co/BJdLbjKvDw: we talk to the creator of our new comic-book-cover tees! BIFF! POW! ONOMATOPOEIA!… https://t.co/9ue6cbN5Hg
neutral,"Plus - the Strangers Skin Pack! Dress up as weirdos from the farthest reaches, and deepest depths of the world!… https://t.co/morbNzKhok"
neutral,"Become legend with the MYTHS Glide Track Pack! Buzz the sun in Icarus, slice the skies in Excalibur or ride with th… https://t.co/PoyJ1PkxC5"
positive,"Console Edition just got a rather delightful update, dontchaknow. What was within? Well, first up..."
neutral,Today on https://t.co/BJdLbjKvDw: Ship Shape! We survey @kenhirashima86's stunning seafaring creations!… https://t.co/b3kixf8Q2E
neutral,Today on https://t.co/BJdLbjKvDw: @Aequotis and @Elisthetic take us for a spin in a Spitfire!… https://t.co/BGKWXInyo4
positive,"New on Java Edition Realms: Ninja Defense, PentaBlock, QMagnet's Test Map, and Magma Runner! https://t.co/PXkqnLdYZv https://t.co/NJ7f3PgocN"
neutral,"What's the Block of the Week? It's...SANDSTONE!https://t.co/puFvJDc3Mf https://t.co/1BmI14Q0Vt"
positive,Let’s Beta test together the Better Together Beta! It’s going live on XBOX ONE today! Learn how to join:… https://t.co/xaje1wdlpL
neutral,Today on https://t.co/BJdLbjKvDw: @DerpinQ4's peculiarly huggable animal-vegetable hybrids! https://t.co/qBX4Qcf4tO https://t.co/JGUgsSY2jz
positive,RT @Mojang: Want to come visit Mojang? You might - FOR CHARITY! We're auctioning a studio tour on behalf of Save the Children! https://t.co…
positive,Phew! We’re all done with the MINECON Earth QA livestream. Missed it? Watch it here: https://t.co/PUeFU4D4Dv https://t.co/EG64EVrBmg
positive,We’re going live with our MINECON Earth Q&amp;A any moment now! Watch on https://t.co/oLJvub1cPX or… https://t.co/dNj0yWzjuu
positive,BE PREPARED! We’re streaming answers to your MINECON Earth questions in an hour. Watch on https://t.co/oLJvubiOex o… https://t.co/hjUhvt39Ol
positive,NICE NEWS FOR NICE PEOPLE: Story Mode season 1 is now out on Switch! ALSO NICE: Telltale devs did an AMA about it!… https://t.co/db1umFd6q5
positive,Thanks for all your MINECON questions! We've collated them and will stream our answers tomorrow at 5pm CEST. So kee… https://t.co/TKBBOLIAHH
neutral,"Today on https://t.co/BJdLbjKvDw: Arr, mateys! Sail for Stone Skull Island... if ye dare! (Please do: it's nice.)… https://t.co/nBk8EFfbvK"
positive,"Wonder what cool community creations topped the Marketplace charts in July? Well, lemme tell ya!… https://t.co/EKXDm0aQfk"
neutral,Today on https://t.co/BJdLbjKvDw: we find out how Story Mode's coolest biome went from concept to construct!… https://t.co/ea2sldISCu
positive,Grass! Dirt! Redstone! Like you’ve never seen before! We give you: the Xbox One S Minecraft Limited Edition Bundle!… https://t.co/5Alli837pe
neutral,Today on https://t.co/BJdLbjKvDw: we go to the moon with @automailed_ and BlackWooz_!   https://t.co/NCGc4GLVV6 https://t.co/v7VS8FmHLg
neutral,"What's our Block of the Week? It's...LEAVES! Can you beLEAVE it?https://t.co/ufyXCMZu4V https://t.co/bIsiyGyMjT"
positive,We put some lovely new things on that there Marketplace! Craters! Dinosaurs! Submarines! The lot!… https://t.co/cnZbUxx10G
neutral,"Today on https://t.co/BJdLbjKvDw: Our devs pick their top 10 favourite bugs! Who knew that Minecraft had any?!… https://t.co/II8QNwFjDF"
neutral,Questions about MINECON EARTH? Ask! Reply with your question and @lydiawinters @vubui @jeb_ will answer live on Wed… https://t.co/EEvd4C65bJ
neutral,"Not only can you grab the episode today, you can watch super awesome @telltalegames folk play it RIGHT THIS SECOND!… https://t.co/JzHqcXma50"
neutral,"Today on https://t.co/BJdLbjKvDw, mind your Manors! A glorious stately build from @FrBulix!https://t.co/VR3YO0hkKE https://t.co/V2gzgOhgCf"
neutral,"Today on https://t.co/BJdLbjKvDw, meet the Husk! The powerful zombie that punches us peckish!… https://t.co/kwMLxyga3A"
neutral,"Today on https://t.co/BJdLbjKvDw, Spooky Spires! A castle build from Harmony Blocks!https://t.co/CGrXJokOdb https://t.co/sRq5LqeVSQ"
negative,"What's our Block of the Week? It's...TNT! Go on, hit it! What's the worst that could happen?… https://t.co/gPftJyDQZs"
neutral,"Today on https://t.co/BJdLbjKvDw, meet the characters from our new Minecraft magazine!https://t.co/h4JmlGiLL8 https://t.co/vZLFDBWdkm"
neutral,Trailer ahoy! Jesse faces giant consequences in Season 2 Episode 2 of Story Mode - available to play next week!… https://t.co/Gulu4zPQ4a
neutral,"Today on https://t.co/BJdLbjKvDw, Sapphire Ocean! Take a dive into @SquityMC's underwater city build!… https://t.co/3eviNb2R0S"
positive,"Introducing Official Minecraft Community Events! Hang out, make friends and maybe meet a Minecraft celebrity IRL!… https://t.co/CtGVerq9Zp"
positive,MINECON has gone global! We’ve got one unmissable stream in store and you’re ALL invited! Presenting MINECON Earth!… https://t.co/e7C1dcNaLJ
neutral,"Today on https://t.co/BJdLbjKvDw, Aotearoa awaits! An excellent New Zealand build from Lt_Peanut!… https://t.co/m6xj5SWl8R"
neutral,"RT @Mojang: Thanks to everyone who came along to Stockholm’s Pride Parade on Saturday - marching for peace, equality and a better world for…"
neutral,"Today on https://t.co/BJdLbk26v4, wizards! Ninjas! Dragons! Who will win in @plutouthere's fantasy fight build?… https://t.co/6PBj3OvFpx"
positive,What's new on Realms? Loads! We've got TEN mighty new mini games and maps for you to play on Java Edition!… https://t.co/QnLlKSNICS
neutral,"What's our Block of the Week? It's...BONE!https://t.co/b8Us8toxeV https://t.co/7A4vC6voRq"
neutral,Minecraft: Official Magazine is on shelves in the UK! Featuring the work of amazo-illustrator @trudicastle!… https://t.co/TnaLTdNhx6
neutral,A big dollop of delicious content plops onto Marketplace today - including Infinity Dungeon EX by @Jigarbov!… https://t.co/cHC1rwOqo0
